hs6,dimension,score,sitc2,sitc2_label
851679,2,0.969744521382527,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851680,2,1.39671945261258,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851690,2,1.29113225908157,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851711,2,0.694101295375348,76,"76 - Telecommunications, sound recording and reproducing equipment"
851712,2,92.7490572957551,76,"76 - Telecommunications, sound recording and reproducing equipment"
851718,2,0.552118407370184,76,"76 - Telecommunications, sound recording and reproducing equipment"
851761,2,0.825953077006795,76,"76 - Telecommunications, sound recording and reproducing equipment"
851762,2,10.6464846881557,76,"76 - Telecommunications, sound recording and reproducing equipment"
851769,2,0.660463355080716,76,"76 - Telecommunications, sound recording and reproducing equipment"
851770,2,7.88443482839965,76,"76 - Telecommunications, sound recording and reproducing equipment"
851810,2,0.149165758969305,76,"76 - Telecommunications, sound recording and reproducing equipment"
851821,2,0.422646182419017,76,"76 - Telecommunications, sound recording and reproducing equipment"
851822,2,0.78463033423053,76,"76 - Telecommunications, sound recording and reproducing equipment"
851829,2,0.762419721791539,76,"76 - Telecommunications, sound recording and reproducing equipment"
851830,2,0.988575704628111,76,"76 - Telecommunications, sound recording and reproducing equipment"
851840,2,0.341273416961885,76,"76 - Telecommunications, sound recording and reproducing equipment"
851850,2,0.149987949831388,76,"76 - Telecommunications, sound recording and reproducing equipment"
851890,2,0.264784434282884,76,"76 - Telecommunications, sound recording and reproducing equipment"
851920,2,0.0141318146618064,76,"76 - Telecommunications, sound recording and reproducing equipment"
851930,2,0.0284202715606912,76,"76 - Telecommunications, sound recording and reproducing equipment"
851950,2,2.22044604925031e-16,76,"76 - Telecommunications, sound recording and reproducing equipment"
851981,2,0.753830873776044,76,"76 - Telecommunications, sound recording and reproducing equipment"
851989,2,0.180172791353317,76,"76 - Telecommunications, sound recording and reproducing equipment"
852110,2,0.0368143143141317,76,"76 - Telecommunications, sound recording and reproducing equipment"
852190,2,3.90062314246528,76,"76 - Telecommunications, sound recording and reproducing equipment"
852210,2,0.00158210851109568,76,"76 - Telecommunications, sound recording and reproducing equipment"
852290,2,0.31929823456622,76,"76 - Telecommunications, sound recording and reproducing equipment"
852321,2,0.104264276913035,89,"89 - Miscellaneous manufactured articles, n.e.s."
852329,2,0.687735077067142,89,"89 - Miscellaneous manufactured articles, n.e.s."
852340,2,6.58943511304044,,
852351,2,2.13548008113848,89,"89 - Miscellaneous manufactured articles, n.e.s."
